DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2007-2008 Regular Season,10/30/2007,Martell Webster,SF,Portland,San Antonio,R,39.4,9,15,3,6,0,0,1,2,3,1,2,0,0,1,21
2007-2008 Regular Season,10/30/2007,LaMarcus Aldridge,C,Portland,San Antonio,R,36.0,12,19,0,0,3,3,1,2,3,0,3,1,1,2,27
2007-2008 Regular Season,10/30/2007,Joel Przybilla,C,Portland,San Antonio,R,31.4,4,5,0,0,5,6,1,9,10,1,3,0,2,1,13
2007-2008 Regular Season,10/30/2007,Brandon Roy,SG,Portland,San Antonio,R,38.4,2,10,1,2,2,4,2,3,5,6,2,0,4,0,7
2007-2008 Regular Season,10/30/2007,Jarrett Jack,SG,Portland,San Antonio,R,27.7,2,6,1,1,0,0,1,2,3,1,1,0,2,0,5
2007-2008 Regular Season,10/30/2007,Steve Blake,PG,Portland,San Antonio,R,25.1,4,7,1,3,0,0,0,6,6,4,4,0,3,0,9
2007-2008 Regular Season,10/30/2007,Travis Outlaw,PF,Portland,San Antonio,R,19.9,4,10,0,0,3,4,0,5,5,2,2,0,2,0,11
2007-2008 Regular Season,10/30/2007,James Jones,SF,Portland,San Antonio,R,7.1,1,1,0,0,0,0,1,2,3,0,0,0,1,0,2
2007-2008 Regular Season,10/30/2007,Sergio Rodriguez,PG,Portland,San Antonio,R,5.7,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2
2007-2008 Regular Season,10/30/2007,Channing Frye,C,Portland,San Antonio,R,9.4,0,3,0,0,0,0,1,1,2,0,2,0,0,0,0
2007-2008 Regular Season,10/30/2007,Bruce Bowen,SF,San Antonio,Portland,H,26.8,0,5,0,3,0,0,0,1,1,3,2,0,0,1,0
2007-2008 Regular Season,10/30/2007,Tim Duncan,PF,San Antonio,Portland,H,35.8,10,15,0,0,4,7,6,7,13,3,2,0,0,1,24
2007-2008 Regular Season,10/30/2007,Fabricio Oberto,C,San Antonio,Portland,H,18.9,3,4,0,0,0,0,1,3,4,0,6,0,1,1,6
2007-2008 Regular Season,10/30/2007,Michael Finley,SF,San Antonio,Portland,H,23.0,4,11,1,5,0,0,0,1,1,3,0,0,0,0,9
2007-2008 Regular Season,10/30/2007,Tony Parker,PG,San Antonio,Portland,H,35.6,7,14,0,1,5,6,0,5,5,2,1,1,3,0,19
2007-2008 Regular Season,10/30/2007,Matt Bonner,C,San Antonio,Portland,H,19.1,4,9,0,2,0,0,2,3,5,0,2,0,0,0,8
2007-2008 Regular Season,10/30/2007,Manu Ginobili,SG,San Antonio,Portland,H,29.3,4,11,1,5,7,8,1,2,3,8,3,5,2,1,16
2007-2008 Regular Season,10/30/2007,Darius Washington,SG,San Antonio,Portland,H,12.4,1,1,1,1,0,2,0,1,1,2,1,1,1,0,3
2007-2008 Regular Season,10/30/2007,Brent Barry,SG,San Antonio,Portland,H,17.1,4,8,3,7,1,1,1,1,2,0,1,0,0,0,12
2007-2008 Regular Season,10/30/2007,Francisco Elson,C,San Antonio,Portland,H,20.9,4,9,0,0,1,2,1,4,5,0,1,1,1,0,9
2007-2008 Regular Season,10/30/2007,Ian Mahinmi,C,San Antonio,Portland,H,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,10/30/2007,Shane Battier,SF,Houston,LA Lakers,R,37.2,4,11,2,6,1,2,3,2,5,0,6,2,1,1,11
2007-2008 Regular Season,10/30/2007,Charles Hayes,C,Houston,LA Lakers,R,26.2,2,2,0,0,0,1,2,6,8,0,3,0,0,0,4
2007-2008 Regular Season,10/30/2007,Yao Ming,C,Houston,LA Lakers,R,40.5,9,16,0,0,7,8,4,8,12,3,5,1,4,3,25
2007-2008 Regular Season,10/30/2007,Tracy McGrady,SF,Houston,LA Lakers,R,40.1,10,20,0,4,10,12,0,6,6,4,4,0,3,0,30
2007-2008 Regular Season,10/30/2007,Rafer Alston,PG,Houston,LA Lakers,R,28.8,1,6,1,5,2,2,0,7,7,8,1,1,4,0,5
2007-2008 Regular Season,10/30/2007,Mike James,PG,Houston,LA Lakers,R,26.1,5,10,3,5,0,4,1,1,2,2,2,3,3,0,13
2007-2008 Regular Season,10/30/2007,Luis Scola,PF,Houston,LA Lakers,R,9.0,0,0,0,0,0,0,0,3,3,0,3,0,1,0,0
2007-2008 Regular Season,10/30/2007,Bonzi Wells,SF,Houston,LA Lakers,R,18.9,3,7,0,1,1,2,2,4,6,2,3,3,2,1,7
2007-2008 Regular Season,10/30/2007,Luther Head,SG,Houston,LA Lakers,R,6.7,0,2,0,1,0,0,0,0,0,3,1,0,0,0,0
2007-2008 Regular Season,10/30/2007,Dikembe Mutombo,C,Houston,LA Lakers,R,6.6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2007-2008 Regular Season,10/30/2007,Luke Walton,PF,LA Lakers,Houston,H,39.1,3,8,0,1,2,4,1,4,5,4,2,1,1,0,8
